"Rk","G","Month","Day","Year","Age.Year","Age.Day","Tm","X","Opp","X.1","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","PM","Season","Date","Status","Name","LName"
1,1,10,26,1984,21,252,"CHI","","WSB","W (+16)",1,"40:00:00",5,16,0.313,0,0,NA,6,7,0.857,1,5,6,7,2,4,5,2,16,12.5,NA,1,1984-10-26,"Regular Season","Michael","Jordan"
2,2,10,27,1984,21,253,"CHI","@","MIL","L (-2)",1,"34:00:00",8,13,0.615,0,0,NA,5,5,1,3,2,5,5,2,1,3,4,21,19.4,NA,1,1984-10-27,"Regular Season","Michael","Jordan"
3,3,10,29,1984,21,255,"CHI","","MIL","W (+6)",1,"34:00:00",13,24,0.542,0,0,NA,11,13,0.846,2,2,4,5,6,2,3,4,37,32.9,NA,1,1984-10-29,"Regular Season","Michael","Jordan"
4,4,10,30,1984,21,256,"CHI","@","KCK","W (+5)",1,"36:00:00",8,21,0.381,0,0,NA,9,9,1,2,2,4,5,3,1,6,5,25,14.7,NA,1,1984-10-30,"Regular Season","Michael","Jordan"
5,5,11,1,1984,21,258,"CHI","@","DEN","L (-16)",1,"33:00:00",7,15,0.467,0,0,NA,3,4,0.75,3,2,5,5,1,1,2,4,17,13.2,NA,1,1984-11-01,"Regular Season","Michael","Jordan"
6,6,11,7,1984,21,264,"CHI","@","DET","W (+4)",1,"27:00:00",9,19,0.474,0,0,NA,7,9,0.778,1,3,4,3,3,1,5,5,25,14.9,NA,1,1984-11-07,"Regular Season","Michael","Jordan"
7,7,11,8,1984,21,265,"CHI","@","NYK","W (+15)",1,"33:00:00",15,22,0.682,0,0,NA,3,4,0.75,4,4,8,5,3,2,5,2,33,29.3,NA,1,1984-11-08,"Regular Season","Michael","Jordan"
8,8,11,10,1984,21,267,"CHI","@","IND","W (+2)",1,"42:00:00",9,22,0.409,0,0,NA,9,12,0.75,2,7,9,4,2,5,3,4,27,21.2,NA,1,1984-11-10,"Regular Season","Michael","Jordan"
9,9,11,13,1984,21,270,"CHI","","SAS","W (+3)",1,"43:00:00",18,27,0.667,1,1,1,8,11,0.727,2,8,10,4,3,2,4,4,45,37.5,NA,1,1984-11-13,"Regular Season","Michael","Jordan"
10,10,11,15,1984,21,272,"CHI","","BOS","L (-20)",1,"33:00:00",12,24,0.5,0,1,0,3,3,1,0,2,2,2,2,1,1,4,27,17.1,NA,1,1984-11-15,"Regular Season","Michael","Jordan"
